id,title,artist,year,imagepath
228,Bacchus et Érigone,62,1845,d6516ab3aea3491c0c20f1cc28545909487f6ca97aa748adf4e2444e8ae454e8.jpg
229,Autoportrait de l'artiste,62,1854,e3f2e13679d04e70c113c843f9c877ad61efd5580f59fdfb202901664b76af05.jpg
230,Clovis à la bataille de Tolbiac,62,1836,b880d6e7386343f7f38cc4204538946b59dd4fc4939982146a5ce9c909abe71a.jpg
231,Jeune femme en Sibylle d'après Guido Reni,63,1730,d2354ecad18ea3edf78e165d1eb98733be22b7e3c97b10162ecd2e0260f051de.jpg
232,Émigration pendant le choléra à Marseille,64,1850,2b7123bf5be62481c0ff96492cf6fa32739b0346a73bd582fd2d0f9222c98375.jpg
233,Les garrigues du pic Saint-Loup,65,1859,91545cf613c9cd9326bd25057559a0a2b771d65099b6840ac69338b48bbf3411.jpg
234,"Paysage, les bords du Vidourle",65,1880,0fab3203c6199263a7714914dc18d7efcf0b346a4b289c077a5a2fc794a3f6c2.jpg
235,"Portrait de la marquise de Castries, née Isabeau de Bonzi",66,1666,b73011f3c356c1fb0d39945896320636a0d8a82d3ed5b5824a8943c834008943.jpg
236,Portrait d'Edmond Rouët,67,1839,16c3560c3d109c42dfdbd1aea8e2bfd4acc6b60e6f770965f1ae8f2fc9dcbbc1.jpg
237,Marguerite de Bourgogne écoutant Buridan,67,1844,61da2f00dbf00c1db27fe41afff2d77d5b0cfae91d33b9438aa678f9e761a204.jpg
238,Marguerite de Bourgogne assise,67,1844,988c37ee2ae1917c7e9d655b20791e9067c684ce080cabdd0b76c3fb48dbfe59.jpg
239,Portrait de la première femme de Matet,68,1850,ce8bdcc86efc5b2c8b638ace9abfee7876b48539b07b827c87f97c1af614c7be.jpg
240,Portrait de l'auteur,68,1832,ea5ac662f34a5f07487f23cf442c792d3bb14fc324dd9cb72df0b4c7ae9e615c.jpg
241,Portrait d'un prêtre,68,1850,d140650687cc13eb86a8cbb3d2cb43e6c88b0e97a19f2a81f255a546fb27a07a.jpg
242,La main d'Alfred Bruyas,68,1846,7b5ade248b155a6958ab0de1cb5a596d7fc635428fe2d5d02bd25539e8e7d878.jpg
243,"Adolf Johan de Pfalz, comte palatin",52,1652,5246912f65d0831ce9bdc04bbbe0fdaae28fe87b61283dd88ed5e1c0132a90d7.jpg
244,Une ferme aux environs de Pau,218,1815,8fd3004a89daf439ae9ef4700b821b0fc76a64bde067e4215a44ab9e8e1d1771.jpg
245,Portrait de Louis-François Bertin,29,1803,003293d0951aec975e829eca2040b002b89aa0807f491a2571aa0e2caf349b17.jpg
246,Portrait de Geneviève Aimée Victoire Bertin,29,1802,974ffc24a4874c417f409f429da4703d02ff2d07b8f6f6baaaf3adf7539aadff.jpg
